word,C20 Literature vs. C20 Philosophy,C20 Literature vs. C21 Literature,C20 Literature vs. C21 Philosophy,C20 Philosophy vs. C21 Literature,C20 Philosophy vs. C21 Philosophy,C21 Literature vs. C21 Philosophy,wordset
literary,1.3245335736303294,-0.27073113593643866,1.8884053020555096,-1.6188394549760274,0.563213172395566,2.158727172563832,content
text,1.0419936583778777,-0.0028210606216454654,1.0426934285418317,-1.0502361249413183,-3.488450487237475e-05,1.049115456596808,content
plays,1.0219686098803054,0.2650096472861473,0.7187454136826605,-0.7645518180416332,-0.30315498614271175,0.46181882826651,content
story,0.9399444270495163,0.052079233979540326,0.7127383653222856,-0.8847153916103817,-0.22750237918845942,0.6679048110417585,content
english,0.9288141565438516,0.013348635376060193,1.113952050560044,-0.9282695388344709,0.1858303080458471,1.1011193476075416,content
writing,0.904643885543929,-0.268856899400652,0.8986132101934315,-1.1753655336888962,-0.005326984593338691,1.1779553082294791,content
notes,0.8905637716405838,0.29777986267451595,0.8861509275262373,-0.5950229239293346,-0.005575563541881552,0.590823435823219,content
written,0.8836413470018675,0.1394227172273158,1.0481784033109045,-0.7449746033904749,0.16538056528286435,0.9111790282636981,content
century,0.8663241567178855,-0.015011573313129984,1.1236131453071583,-0.8851269834744605,0.2576079567063451,1.1431950304827494,content
play,0.8656044523539211,0.19042697799917035,0.6127754768968025,-0.6838164424622623,-0.2528430256620578,0.42341200931373313,content
lines,0.8648297878441656,0.3114755899482422,0.8233214551109996,-0.5594170179068017,-0.04105252959034121,0.5125651708905383,content
literature,0.863359071437139,-0.32038785827428673,0.5905093675005014,-1.1877077956856612,-0.274324424236066,0.9079156012396706,content
love,0.8529614804684506,0.18091755632454834,1.0977080472683323,-0.6718995715533531,0.2446882374144088,0.901737383993421,content
young,0.8205165205694919,0.06555526632191971,1.030551309462555,-0.7515921633960277,0.21032401232537837,0.9547031346707819,content
early,0.7936404402785452,-0.12213626440864873,0.7882565033751293,-0.9198459539396896,-0.00464248183111428,0.9177357243735932,content
critics,0.791016742376896,-0.059297120709825756,0.9090582186062178,-0.8498445977701683,0.11680795956811986,0.9553808267830732,content
death,0.7718092489579187,0.07118668182189253,0.8206350865158728,-0.6980001590518203,0.04949722632421777,0.7460251170508957,content
reader,0.7704752714968298,-0.08640902573158622,0.8687628921723813,-0.8562010965364745,0.09751711204639148,0.957486686561533,content
author,0.7427045140574198,0.1646069034526267,0.8329133353675213,-0.5833835623615522,0.08961423260881463,0.6641573669476458,content
reading,0.7265683769962309,-0.25864014376970745,0.44301659400828425,-0.9910562481194354,-0.2835963278840202,0.7069762817055437,content
oxford,0.7091310436849212,-0.09271865086367487,-0.7245860504878401,-0.7931921596770961,-1.43252040566051,-0.6350784448590057,content
works,0.698939377363803,-0.022620742842080564,0.745780420494597,-0.7316439019191048,0.04665967998697354,0.7699861104404634,content
came,0.6699795945469643,0.124720416851848,0.8586998642546897,-0.5422623541621114,0.18899333019019268,0.7283911276897979,content
references,0.6652335588633304,0.05609664445082077,0.5761499487378164,-0.6122998921478985,-0.089173365987705,0.527402043546087,content
years,0.6618662551718772,0.030301310523499263,0.9165448798711865,-0.6354544766982502,0.25484690642979785,0.8802475745049008,content
lost,0.6253242760188699,0.05138158805017868,0.8161417342310583,-0.5680245729896491,0.19146801243451667,0.7664332227115899,content
read,0.6247432011154775,-0.05417249590668432,0.640190223326148,-0.6724223426490135,0.015556666724390898,0.6892874111178451,content
heart,0.6238866537337959,0.06294433951390492,0.6891945803392854,-0.5667231847991269,0.06555275294371869,0.6231833828493986,content
took,0.5957373497159174,0.0662048583607381,0.7282172453709855,-0.5254130410484297,0.1322001420845452,0.6655738610395703,content
book,0.5944680577842985,-0.03383807162281654,0.8167051625370605,-0.6348642732345058,0.22233777623844872,0.8485063876305753,content
whom,0.5932585046827755,0.17802577628468783,0.8374467144425254,-0.42165163523874355,0.2446108742322015,0.6645537827458262,content
period,0.5851548857903542,-0.042304866408441194,0.8358104641340376,-0.6211483364881323,0.2508772499594765,0.8645775735689903,content
john,0.5837529595848924,0.0650106691209977,0.5157946226177471,-0.5357578578732317,-0.06738531630824339,0.4498025339652103,content
probably,0.5813620442441033,0.4846763455055444,0.807327536131005,-0.09827036220311465,0.22642477932814314,0.3256925392802143,content
during,0.5646815513286858,-0.04414237470482743,0.49681281067508926,-0.6287168342700684,-0.06715948506820499,0.5371078059564106,content
passage,0.5429623751130631,0.39846112483260887,0.891016384890185,-0.13816288946801852,0.34789972296273153,0.4991839669906331,content
details,0.5348536289360448,0.21857557971136293,0.28368914455644706,-0.3137927712427382,-0.2511644843795978,0.0651088078856442,content
four,0.532219951144369,0.243886116069307,0.4982608858140484,-0.27775258450253626,-0.03321249667949477,0.24429664531561557,content
stage,0.5255540023437112,0.15465373209510844,0.579156497989519,-0.3731047982734793,0.05375271489492562,0.42842867983114863,content
version,0.5113342544004827,0.1569919703118673,0.19907680670873065,-0.3607417712358046,-0.3125790760352812,0.05082926540249945,content
almost,0.5099871840687954,0.15709454365750208,0.7339190713229793,-0.3529498789730139,0.2240146742223099,0.5813096933664271,content
begins,0.5089126849536781,0.024847448063266327,0.5855860284389891,-0.4837793564255425,0.0769438729851436,0.5720862464401184,content
beginning,0.5011506227804353,0.18138233448610383,0.6343842055840496,-0.31704735130906225,0.13338802850614537,0.4506192400197934,content
last,0.5002123981451598,0.1948784157865108,0.6534025308556153,-0.308825225034249,0.1534041327487662,0.4544291607586616,content
throughout,0.5002052823446755,-0.07644212607834118,0.5280422528054382,-0.5687005432221194,0.027726447078364174,0.5937900596534876,content
close,0.4965911540306162,0.07878655126395187,0.3794786112840725,-0.42417701758810356,-0.11779198173626391,0.29271867563841514,content
told,0.4876325152732283,0.12725701391891858,0.5778333235667832,-0.36115308253626677,0.09035679918606794,0.46122888575766685,content
soon,0.4819426081144174,0.14670332096844554,0.6874792412242894,-0.3247615942414792,0.20590664299755582,0.521397015536223,content
line,0.4807625321942885,0.16953821539233774,0.42306718172358443,-0.30421835058416274,-0.05669976918397125,0.25351853734756147,content
your,0.47181279897256384,0.07208676962758062,0.15063977453399574,-0.4126948648798105,-0.32045046515666636,0.08574341565519208,content
tells,0.4700800490296202,0.19294514742903215,0.39052432574037954,-0.27825837499705636,-0.07972439486778078,0.202169691798029,content
little,0.46798369579974225,0.14436039366740855,0.6442242191629041,-0.32439281821657806,0.17586122546461738,0.5038556848096407,content
cambridge,0.4653698062281632,-0.25396567434679207,-0.5896552811530325,-0.7215198198586613,-1.0543276893662443,-0.3245022552810595,content
name,0.46402743081577047,0.1880433799207514,0.6783703027398521,-0.2531600588878302,0.21423924562564375,0.46469551016872707,content
source,0.4635205040443705,0.3152256543447791,0.47722769363439205,-0.1509630220624665,0.014558983231612236,0.17488818326251673,content
studies,0.4561860165056097,-0.4824915887120116,0.25626410317991816,-0.950623161328947,-0.20204492354739817,0.7447488922221008,content
original,0.45375146211498246,0.3025318166644019,0.5054652549341958,-0.1567334210964232,0.05147127780827283,0.20553044180855284,content
detail,0.45290115176516677,0.2131690872093006,0.3305562888571602,-0.2351345502611885,-0.12250664700473816,0.12049630329175098,content
