word,pos,rank
backward,rr,6369
downstairs,rr,6572
uh-huh,uh,6631
re,ii,6674
overhead,rr,6874
theirs,pp,6931
aloud,rr,6972
afterwards,rr,7151
anytime,rr,7221
underneath,ii,7228
upward,rr,7668
albeit,cs,7709
whatsoever,dd,7788
ya,pp,7938
gosh,uh,8513
thereafter,rr,8613
backwards,rr,8718
ibid,rr,8736
hmm,uh,8923
um,uh,9004
ye,pp,9020
whoa,uh,9160
nowadays,rr,9164
goodbye,uh,9221
sideways,rr,9370
someplace,rr,9378
upright,rr,9479
underway,rr,9523
gee,uh,9556
yep,uh,9847
awhile,rr,9883
oneself,pn,9909
upside,rr,9915
outdoors,rr,9927
conjunction,ii,9965
em,pp,10118
amongst,ii,10251
accordance,ii,10309
sic,rr,10395
eh,uh,10409
indoors,rr,10698
ooh,uh,10935
whereby,rr,11093
thou,pp,11159
minus,ii,11389
bye,uh,11491
alas,uh,11519
outward,rr,11616
lest,cs,11922
aye,uh,12166
nope,uh,12418
clockwise,rr,12666
ashore,rr,12719
pm,rr,12837
downhill,rr,12892
anyhow,rr,12966
yourselves,pp,13044
apiece,rr,13101
kinda,rr,13171
good-bye,uh,13295
thy,appge,13343
unto,ii,13395
insofar,cs,13406
amidst,ii,13571
midway,rr,13584
downstream,rr,13696
thee,pp,14031
blah,uh,14199
anew,rr,14287
beforehand,rr,14302
downright,rr,14453
onboard,rr,14491
notwithstanding,rr,14557
amen,uh,14643
backstage,rr,14670
pertaining,ii,14675
y'all,pp,14716
quicker,rrr,14749
aw,uh,14809
overboard,rr,14874
bye-bye,uh,14894
whichever,dd,14975
upwards,rr,15032
upstream,rr,15507
inward,rr,15582
his/her,appge,15846
circa,rr,16081
alright,rr,16252
mm,uh,16283
wherein,rr,16352
aha,uh,16390
nearer,rrr,16438
owing,ii,16574
onward,rr,16788
oftentimes,rr,16933
aloft,rr,16976
doubtless,rr,17083
thereof,rr,17388
nah,uh,17630
aback,rr,17715
westward,rr,17786
mmm,uh,17990
ultra,rr,18152
therein,rr,18402
afar,rr,18562
lengthwise,rr,18588
uh-oh,uh,18613
ie,rr,18718
oops,uh,19022
yup,uh,19280
vis-a-vis,ii,19439
underfoot,rr,19492
somethin,pn,19710
lieu,ii,19763
irrespective,ii,20022
respecting,ii,20314
til,ii,20343
eastward,rr,20457
barring,ii,20503
northward,rr,20591
jeez,uh,20749
dat,dd,20771
ouch,uh,20775
awry,rr,21017
eureka,uh,21324
anyplace,rr,21502
pursuant,ii,21556
dammit,uh,21655
side-by-side,rr,21674
shh,uh,21684
he/she,pp,21793
uptown,rr,21883
whomever,pn,21920
skyward,rr,22032
forwards,rr,22225
umm,uh,22379
hitherto,rr,22646
hm,uh,22683
yer,appge,23022
fewest,da,23577
heretofore,rr,23690
heh,uh,24080
hah,uh,24388
nay,uh,24441
southward,rr,24495
herein,rr,24688
astray,rr,24706
inasmuch,cs,24734
you-all,pp,24842
goodnight,uh,24889
fro,rr,25214
whereupon,cs,25376
afield,rr,25418
henceforth,rr,25552
amiss,rr,25570
afoot,rr,25641
hereafter,rr,25711
naw,uh,25832
upside-down,rr,25845
twofold,rr,25879
ahh,uh,26174
thru,ii,26203
whilst,cs,26383
upriver,rr,26522
whew,uh,26644
whence,rr,26651
ugh,uh,26678
upfront,rr,26706
hereinafter,rr,26744
headlong,rr,26879
eg,rr,26993
hallelujah,uh,27035
bah,uh,27156
amok,rr,27186
nil,pn,27195
afoul,rr,27345
yum,uh,27496
astride,ii,27537
ay,uh,27574
wham,uh,27945
yea,uh,28007
downriver,rr,28292
downwind,rr,28341
offstage,rr,28434
boo,uh,28555
hereby,rr,28583
naught,pn,28658
in-between,ii,28771
howdy,uh,28884
anyways,rr,28914
pow,uh,28997
verbatim,rr,29228
whoop,uh,29257
bis,rr,29514
hoy,uh,29549
flat-out,rr,29658
vis--vis,ii,29725
yon,dd,29798
unbeknownst,rr,29836
whoo,uh,29920
stateside,rr,30378
yah,uh,30440
partway,rr,30527
uh-uh,uh,30575
etcetera,rr,30788
aground,rr,30942
yonder,rr,31110
headfirst,rr,31192
infra,rr,31209
s/he,pp,32354
straightaway,rr,32376
oooh,uh,32522
yuck,uh,32871
c/o,ii,32873
goddammit,uh,33089
oft,rr,33465
up-front,rr,33623
supposing,cs,33679
duh,uh,33936
shoo,uh,34092
tenfold,rr,34120
oy,uh,34433
oi,uh,34645
offline,rr,35056
cos,cs,35133
counterclockwise,rr,35170
ahem,uh,35175
onwards,rr,35285
nary,rr,35739
so-so,rr,35784
hooray,uh,35801
either/or,cc,36872
mm-hm,uh,36912
whoops,uh,36937
mmmm,uh,37006
ahhh,uh,37257
shush,uh,37322
all-around,rr,37536
nigh,rr,37599
askance,rr,37693
pairwise,rr,37993
thrice,rr,39082
threefold,rr,39127
thence,rr,39462
apace,rr,39510
knee-deep,rr,39596
northbound,rr,39714
aplenty,rr,39987
apropos,rr,40242
afresh,rr,40454
ha-ha,uh,40507
hither,rr,40586
shucks,uh,40749
fivefold,rr,40905
heavenward,rr,41069
up-country,rr,41112
asunder,rr,41115
ooo,uh,41574
downwards,rr,41649
hisself,pp,41678
thine,appge,42228
leeward,rr,42315
him/her,pp,42440
roughshod,rr,42517
ciao,uh,42919
thereabouts,rr,42965
excepting,ii,42968
goddamnit,uh,43206
thyself,pp,43282
vice-versa,rr,43355
hurrah,uh,43422
gees,uh,43629
astern,rr,43825
half-way,rr,44259
mmm-hm,uh,44574
ere,rr,44664
hiya,uh,44773
ah-ha,uh,44837
ach,uh,44860
aww,uh,44971
midstream,rr,45117
aah,uh,45169
incognito,rr,45381
hereabouts,rr,45638
mmm-hmm,uh,46187
unawares,rr,46208
phew,uh,46246
beachside,rr,46588
amidships,rr,47104
aloha,uh,47350
ourself,pp,47551
wid,ii,47885
gratis,rr,48060
forthwith,rr,48202
outwards,rr,48466
um-hmm,uh,48646
some-thing,pn,48655
huh-uh,uh,48955
red-handed,rr,49610
straight-ahead,rr,49898
perforce,rr,49911
seaward,rr,49962
passim,rr,49993
her/his,appge,50829
to-day,rr,50949
fain,rr,51024
oh-oh,uh,51142
streamside,rr,51509
herewith,rr,51556
wherefore,rr,51981
inwards,rr,52507
pell-mell,rr,52593
o'er,ii,52719
bareback,rr,53447
yous,pp,53502
haw,uh,53695
inside-out,rr,53761
hundredfold,rr,53790
chrissakes,rr,54177
yuk,uh,54393
everytime,rr,54749
whereof,rr,54970
perchance,rr,54978
head-first,rr,54983
themself,pp,55191
yoo-hoo,uh,55434
helter-skelter,rr,55575
damnit,uh,55705
evermore,rr,55844
here-and-now,rr,56122
sixfold,rr,56245
selfsame,da,56561
ahhhh,uh,56740
somewheres,rr,56798
rearward,rr,56817
gee-whiz,uh,57168
natch,uh,57175
ummm,uh,57695
betwixt,ii,57967
alleluia,uh,58334
forevermore,rr,58352
afore,cs,58809
downrange,rr,59096
anon,rr,59142
off-stage,rr,59580
cripes,uh,59665
rah,uh,59728
thereto,rr,59903
thither,rr,59906
aught,pn,59977
oof,uh,61059
a-ha,uh,61113
loco,rr,61486
hurray,uh,61689
meself,pp,61792
iff,cs,61797
thereon,rr,62559
sevenfold,rr,63298
soonest,rrt,63356
upfield,rr,63733
nought,pn,63779
well-nigh,rr,63917
aright,rr,63999
aaah,uh,64024
hullo,uh,64085
when/where,cs,64178
midwater,rr,64179
cheerio,uh,64429
as-yet,rr,64605
woo-hoo,uh,64608
noooo,uh,64640
belowdecks,rr,64729
amuck,rr,64923
any-thing,pn,65145
fie,uh,65419
therefrom,rr,65648
piecewise,rr,65941
ever-more,rr,66015
earthward,rr,66538
ne'er,rr,66637
aw-shucks,uh,67197
oooo,uh,67450
goddamit,uh,67451
sidewise,rr,67700
yippee,uh,67755
straightaways,rr,67805
yerself,pp,67921
pair-wise,rr,68343
heave-ho,uh,68465
ah-hah,uh,68628
eightfold,rr,68921
face-up,rr,69118
allover,rr,69973
crossways,rr,69990
mm-mm,uh,70157
to-morrow,rr,70197
ya-ya,uh,71202
unbeknown,rr,72065
aye-aye,uh,72376
single-handed,rr,72548
offside,rr,72644
thenceforth,rr,72953
theirselves,pp,73311
withal,rr,73767
shoreside,rr,73960
ha-ha-ha,uh,74007
overmuch,rr,74165
anybodys,pn,74169
hoo-ha,uh,74238
shoreward,rr,74471
hallo,uh,74575
therefor,rr,74587
enroute,ii,75624
whee,uh,75725
head-over-heels,rr,76267
therewith,rr,76337
okey-dokey,uh,76568
straightway,rr,77182
whoo-hoo,uh,77714
pah,uh,77822
northwestward,rr,78447
some-one,pn,78543
nevermore,rr,78578
heh-heh,uh,78599
mid-way,rr,79008
nuh-uh,uh,79634
fortissimo,rr,79836
any-way,rr,80124
so-far,rr,80480
northeastward,rr,80840
himself/herself,pp,81375
upcourt,rr,81427
bare-handed,rr,81488
boo-hoo,uh,81730
thataway,rr,81735
them-selves,pp,82331
aaaah,uh,82508
some-where,rr,83010
crikey,uh,83663
southeastward,rr,83714
nyah,uh,84007
aslant,rr,84105
him-self,pp,84213
blah-blah-blah,uh,84392
counter-clockwise,rr,84394
oh-ho,uh,84542
blah-blah,uh,85286
hotfoot,rr,85370
theretofore,rr,85397
blimey,uh,85581
to-night,rr,85585
posthaste,rr,86137
northwards,rr,86548
propos,ii,86803
yum-yum,uh,86920
healthwise,rr,87421
whereon,rr,87743
downcourt,rr,87784
to-and-fro,rr,87917
sshh,uh,88038
by-now,rr,88464
slantwise,rr,88499
her-self,pp,89021
downstage,rr,89178
careerwise,rr,89723
lickety-split,rr,90179
everbody,pn,90385
aways,rr,91033
your-self,pp,91050
oftener,rrr,91590
theirself,pp,91623
and-most,cs,92327
up-river,rr,92390
seam-side,rr,92664
whomsoever,pn,92900
right-side-up,rr,92994
poleward,rr,93216
aargh,uh,93288
right-now,rr,93862
how-ever,rr,94083
some-body,pn,94352
to/from,ii,94594
egad,uh,94909
all-at-once,rr,96483
skywards,rr,96871
abouts,ii,98578
southwards,rr,98893
wherewith,rr,98896
manyfold,rr,100162
