word,pos,rank
the,at,1
and,cc,2
of,ii,3
a,at,4
in,ii,5
to,to,6
I,pp,7
it,pp,9
that,cs,11
for,ii,12
you,pp,13
he,pp,15
with,ii,16
on,ii,17
's,ge,18
at,ii,19
this,dd,20
they,pp,21
we,pp,25
his,appge,26
but,cc,27
from,ii,29
not,xx,30
n't,xx,31
she,pp,32
by,ii,33
or,cc,34
an,at,36
as,cs,37
what,dd,39
their,appge,41
all,db,42
who,pn,44
her,appge,45
my,appge,46
if,cs,47
about,ii,50
up,rr,53
so,rr,55
there,ex,56
me,pp,59
just,rr,60
when,cs,62
which,dd,63
them,pp,64
him,pp,65
out,rr,67
your,appge,68
some,dd,69
into,ii,70
now,rr,74
than,cs,75
like,ii,76
',ge,77
how,rr,79
then,rr,80
our,appge,82
its,appge,83
these,dd,84
also,rr,89
because,cs,92
well,rr,94
more,da,95
no,at,97
here,rr,98
very,rr,101
many,da,102
those,dd,103
back,rr,105
us,pp,109
even,rr,110
through,ii,113
any,dd,114
down,rr,116
after,ii,121
over,ii,124
still,rr,125
too,rr,131
between,ii,138
never,rr,139
something,pn,140
much,da,142
another,dd,146
own,da,147
why,rr,149
right,rr,150
while,cs,151
most,rr,152
same,da,155
every,at,159
where,cs,160
again,rr,166
such,da,167
against,ii,168
few,da,170
each,dd,171
during,ii,178
off,rr,182
today,rr,183
always,rr,185
before,ii,192
without,ii,196
under,ii,207
yes,uh,208
though,cs,217
both,db,229
away,rr,230
around,ii,232
until,cs,233
since,cs,245
often,rr,246
among,ii,247
however,rr,249
ever,rr,255
yet,rr,257
almost,rr,272
later,rrr,279
nothing,pn,280
once,rr,281
ago,rr,284
several,da,293
whether,cs,295
together,rr,301
anything,pn,302
least,rr,312
already,rr,313
yeah,uh,326
within,ii,327
maybe,rr,330
across,ii,337
himself,pp,340
enough,rr,341
including,ii,343
oh,uh,344
far,rr,345
although,cs,346
toward,ii,350
everything,pn,352
someone,pn,382
course,rr,385
behind,ii,387
former,da,398
else,rr,409
along,ii,421
perhaps,rr,424
according,ii,426
sometimes,rr,429
themselves,pp,432
everyone,pn,474
whose,dd,490
half,db,501
itself,pp,510
quite,rr,514
per,ii,524
either,rr,539
less,da,575
myself,pp,587
anyone,pn,599
soon,rr,625
upon,ii,636
near,ii,648
thus,rr,651
ok,rr,665
herself,pp,667
longer,rrr,674
pretty,rr,692
despite,ii,695
everybody,pn,699
beyond,ii,713
whatever,dd,721
tonight,rr,734
forward,rr,740
outside,ii,764
rather,rr,792
indeed,rr,809
above,ii,824
onto,ii,826
yourself,pp,867
somebody,pn,879
inside,ii,882
instead,rr,883
ahead,rr,914
throughout,ii,937
earlier,rrr,975
whom,pn,986
front,ii,990
alone,rr,999
nor,cc,1019
none,pn,1063
therefore,rr,1072
please,rr,1092
nobody,pn,1104
further,rrr,1114
terms,ii,1237
tomorrow,rr,1281
anybody,pn,1344
anyway,rr,1349
hey,uh,1366
worth,ii,1369
unless,cs,1383
na,to,1417
okay,rr,1444
twice,rr,1467
yesterday,rr,1503
below,rr,1597
fast,rr,1622
lots,pn,1624
otherwise,rr,1633
somewhere,rr,1641
straight,rr,1681
somehow,rr,1754
anymore,rr,1765
due,ii,1814
meanwhile,rr,1911
plus,ii,1935
beside,ii,1952
ourselves,pp,1962
neither,rr,1967
except,ii,1980
beneath,ii,1991
aside,rr,1993
hi,uh,1996
anywhere,rr,2011
forth,rr,2012
fewer,da,2063
somewhat,rr,2108
closer,rrr,2111
towards,ii,2115
everywhere,rr,2122
vs,ii,2123
apart,rr,2128
plenty,pn,2135
addition,ii,2180
regarding,ii,2185
forever,rr,2236
hello,uh,2321
mine,pp,2364
moreover,rr,2404
mm-hmm,uh,2414
elsewhere,rr,2511
whenever,rr,2565
via,ii,2634
unlike,ii,2805
whereas,cs,2867
nevertheless,rr,2907
latter,da,3009
prior,ii,3103
faster,rrr,3192
regardless,rr,3233
nowhere,rr,3336
depending,ii,3370
versus,ii,3389
besides,rr,3406
yours,pp,3467
furthermore,rr,3477
ah,uh,3523
etc,rr,3534
wow,uh,3807
concerning,ii,3840
nonetheless,rr,3879
abroad,rr,3914
and/or,cc,4011
favor,ii,4135
hence,rr,4140
hers,pp,4249
loud,rr,4376
amid,ii,4406
farther,rrr,4467
wherever,rr,4488
huh,uh,4513
thereby,rr,4529
altogether,rr,4667
sooner,rrr,4735
afterward,rr,4798
o'clock,rr,4851
regard,ii,5009
ta,to,5033
alongside,ii,5037
ours,pp,5052
whoever,pn,5092
upstairs,rr,5175
spite,ii,5215
uh,uh,5297
worldwide,rr,5372
likewise,rr,5422
atop,ii,5432
alike,rr,5442
halfway,rr,5477
someday,rr,5498
behalf,ii,5517
ha,uh,5610
overnight,rr,5716
till,cs,5947
overseas,rr,5954
nationwide,rr,6070
seldom,rr,6263
aboard,ii,6295
sometime,rr,6311
