word,num_docs,num_docs_rank
a,186703,1
in,186675,2
of,186662,3
and,186649,4
the,186648,5
to,186643,6
that,186577,7
is,186544,8
as,186419,9
it,186291,10
for,186247,11
not,185732,12
this,185606,13
be,185541,14
by,184632,15
with,184318,16
are,183447,17
but,183383,18
an,183173,19
on,181763,20
or,181388,21
which,181325,22
from,177986,23
one,176653,24
have,176592,25
at,173114,26
we,165800,27
all,165252,28
if,165041,29
can,164446,30
what,163918,31
has,163430,32
so,162610,33
there,161639,34
only,160019,35
they,158712,36
such,158537,37
other,157958,38
more,157919,39
no,157410,40
these,155468,41
its,152035,42
would,148199,43
some,145340,44
their,144053,45
than,143106,46
will,141807,47
he,138919,48
his,138349,49
any,138022,50
does,137969,51
when,137145,52
may,135479,53
also,135259,54
do,134559,55
then,134095,56
about,133009,57
between,132383,58
even,130825,59
first,128903,60
way,126109,61
two,124772,62
them,123644,63
into,118820,64
must,118153,65
out,118145,66
however,118048,67
been,117777,68
our,117412,69
was,117398,70
how,113916,71
because,112289,72
same,112148,73
being,111493,74
us,111175,75
who,111023,76
both,110871,77
like,110388,78
here,107513,79
fact,107276,80
those,107187,81
should,107078,82
most,105116,83
could,103856,84
sense,103631,85
might,103372,86
thus,103067,87
were,102160,88
case,101817,89
well,100173,90
very,98461,91
point,98177,92
rather,98090,93
now,97857,94
make,96240,95
say,95551,96
just,95262,97
time,94618,98
own,93585,99
see,93351,100
different,93114,101
another,90168,102
given,89203,103
without,89031,104
question,88613,105
many,88091,106
since,87320,107
seems,87313,108
itself,87093,109
much,87016,110
my,86556,111
view,86329,112
example,85886,113
part,84003,114
had,83905,115
where,83396,116
certain,83114,117
whether,82405,118
possible,82007,119
true,81329,120
up,81007,121
while,80022,122
form,79010,123
made,78058,124
world,78018,125
each,77463,126
something,76989,127
second,76958,128
though,76893,129
yet,76376,130
course,76239,131
use,76015,132
take,75868,133
particular,75455,134
terms,75419,135
order,75194,136
him,74968,137
think,74747,138
through,74699,139
least,73800,140
nature,72748,141
theory,72630,142
general,72070,143
reason,71966,144
still,71487,145
kind,70902,146
means,69935,147
need,69888,148
work,69069,149
things,68514,150
new,68332,151
account,68262,152
after,67440,153
over,67200,154
present,66261,155
important,65859,156
perhaps,65542,157
far,65379,158
upon,65142,159
indeed,65114,160
makes,64794,161
why,64668,162
thought,64655,163
too,63935,164
either,63460,165
against,63278,166
less,63200,167
therefore,62838,168
good,62639,169
life,62551,170
matter,62239,171
problem,61887,172
before,61791,173
me,61679,174
under,61327,175
further,60822,176
know,60798,177
seem,60654,178
place,60450,179
within,60347,180
simply,60050,181
clear,59827,182
always,58567,183
set,57709,184
find,57463,185
others,57247,186
nor,56903,187
claim,56474,188
argument,56351,189
nothing,56323,190
human,56267,191
words,56185,192
mind,56091,193
consider,55572,194
himself,55227,195
often,55179,196
hand,55011,197
every,54918,198
knowledge,54561,199
according,54051,200
said,54038,201
again,54011,202
merely,53702,203
her,53681,204
although,53618,205
man,53569,206
