phrase,count,rank
"PP(IN,NP)",120859,1
"S(NP,VP)",61510,2
"NP(NP,PP)",61041,3
"NP(DT,NN)",53516,4
"SBAR(IN,S)",22735,5
"NP(DT,JJ,NN)",19337,6
"VP(TO,VP)",17159,7
"NP(NP,SBAR)",16911,8
"SBAR(WHNP,S)",13333,9
"VP(MD,VP)",12052,10
"VP(VBZ,NP)",11282,11
"VP(VB,NP)",10889,12
"NP(JJ,NNS)",9114,13
"NP(DT,NNS)",9011,14
"VP(VBN,PP)",8789,15
"NP(JJ,NN)",7962,16
"PP(IN,S)",6775,17
"NP(PRP$,NN)",6762,18
"NP(NP,NP)",6040,19
"NP(NP,VP)",5565,20
"VP(VB,VP)",5196,21
"VP(VBG,NP)",5152,22
"VP(VBZ,VP)",4908,23
"VP(VBP,NP)",4882,24
"S(PP,NP,VP)",4855,25
"NP(NP,CC,NP)",4838,26
"NP(NNP,POS)",4106,27
"ADJP(RB,JJ)",4046,28
"VP(VB,SBAR)",3951,29
"SBAR(WHADVP,S)",3873,30
"VP(VBZ,ADJP)",3690,31
"VP(VB,PP)",3661,32
"S(ADVP,NP,VP)",3634,33
"NP(NP,NN)",3564,34
"VP(VBZ,PP)",3543,35
"NP(NNP,NNP)",3376,36
"ADJP(JJ,PP)",3321,37
"VP(VBZ,SBAR)",3249,38
"NP(DT,JJ,NNS)",3178,39
"VP(VB,NP,PP)",3155,40
"VP(VBZ,S)",3147,41
"VP(VBP,VP)",3099,42
"S(NP,ADVP,VP)",3042,43
"NP(DT,NN,NN)",2909,44
"VP(VP,CC,VP)",2854,45
"NP(NP,PP,PP)",2630,46
"S(S,CC,S)",2560,47
"WHPP(IN,WHNP)",2519,48
"S(SBAR,NP,VP)",2488,49
"VP(VB,S)",2419,50
"NP(DT,ADJP,NN)",2391,51
"SBAR(WHPP,S)",2293,52
"VP(VBD,NP)",2259,53
"NP(PRP$,NNS)",2215,54
"S(S,S)",2165,55
"VP(MD,ADVP,VP)",2061,56
"NP(DT,NNP)",2001,57
"NP(PRP$,JJ,NN)",1898,58
"VP(VBN,S)",1883,59
"VP(VBZ,NP,PP)",1861,60
"VP(VB,ADJP)",1845,61
"ADJP(JJ,CC,JJ)",1843,62
"VP(VBP,PP)",1781,63
"NP(NP,ADJP)",1747,64
"NP(DT,JJ)",1695,65
"VP(VBD,VP)",1692,66
"VP(MD,RB,VP)",1686,67
"ADVP(RB,RB)",1676,68
"PP(IN,SBAR)",1647,69
"VP(VBG,PP)",1638,70
"NP(NN,NN)",1631,71
"VP(VBP,S)",1583,72
"VP(VBP,ADJP)",1548,73
"NP(DT,NN,SBAR)",1532,74
"NP(NN,CC,NN)",1474,75
"VP(VBG,NP,PP)",1379,76
"VP(VBZ,RB,VP)",1373,77
"S(CC,NP,VP)",1372,78
"VP(VBP,SBAR)",1363,79
"PP(ADVP,IN,NP)",1327,80
"VP(VBN,NP)",1319,81
"NP(NN,NNS)",1301,82
"NP(ADJP,NNS)",1272,83
"S(ADVP,VP)",1263,84
"PP(IN,ADJP)",1189,85
"NP(JJ,JJ,NNS)",1115,86
"VP(VBZ,ADVP,VP)",1083,87
"PP(IN,PP)",1072,88
"NP(DT,NN,POS)",1031,89
"VP(VBG,SBAR)",1022,90
"VP(VBN,SBAR)",1019,91
"VP(VBP,RB,VP)",1009,92
"VP(VBD,PP)",959,93
"SBAR(ADVP,IN,S)",958,94
"NP(DT,VBN,NN)",953,95
"VP(VBP,NP,PP)",912,96
"ADJP(JJ,S)",898,97
"VP(VBN,PP,PP)",871,98
"VP(VBN,VP)",851,99
"VP(VBD,S)",841,100
"ADJP(RBR,JJ)",836,101
"NP(PRP$,JJ,NNS)",825,102
"S(S,NP,VP)",807,103
"S(S,VP)",806,104
"SBAR(SBAR,CC,SBAR)",799,105
"PP(PP,CC,PP)",798,106
"VP(VBZ,ADJP,SBAR)",785,107
"S(SBAR,VP)",766,108
"NP(NP,JJ,NN)",762,109
"NP(NP,S)",756,110
"NP(NP,NNS)",753,111
"VP(VBZ,ADVP,NP)",742,112
"NP(NNP,CC,NNP)",709,113
"VP(VB,NP,SBAR)",700,114
"NP(NP,ADVP)",697,115
"NP(CD,NNS)",697,116
"NP(DT,NML,NN)",691,117
"NP(PDT,DT,NN)",685,118
"NP(CD,NN)",682,119
"ADJP(ADJP,PP)",678,120
"VP(VBG,S)",656,121
"VP(VBP,ADVP,VP)",656,122
"NP(ADJP,NN)",646,123
"NP(DT,VBG,NN)",643,124
"ADJP(RB,JJ,PP)",643,125
"NP(NNP,NNP,NNP)",641,126
"NP(DT,NNP,NNP)",637,127
"VP(VBD,NP,PP)",616,128
"VP(VBZ,NP,SBAR)",615,129
"S(PP,VP)",598,130
"ADVP(IN,JJS)",589,131
"VP(VBD,ADJP)",588,132
"NP(JJ,JJ,NN)",573,133
"VP(VBN,ADVP)",570,134
"NP(FW,FW)",568,135
"ADVP(RB,PP)",521,136
"VP(VBG,VP)",520,137
"VP(VB,ADVP)",519,138
"VP(VBD,SBAR)",518,139
"ADJP(RB,VBN)",511,140
"NP(NNS,CC,NNS)",510,141
"NP(DT,CD,NNS)",509,142
"NP(NNP,NN)",507,143
"NP(DT,ADJP,NNS)",502,144
"S(NP,PP,VP)",500,145
"NP(DT,NN,S)",495,146
"NP(DT,NN,NNS)",486,147
"VP(VB,NP,S)",474,148
"VP(VBZ,ADJP,PP)",472,149
"VP(VBZ,RB,NP)",469,150
"VP(VBZ,ADJP,S)",461,151
"NP(NP,NP,NP)",459,152
"S(NP,NP,VP)",457,153
"NP(DT,JJR,NN)",455,154
"VP(VBZ,NP,S)",453,155
"S(NP,ADJP)",448,156
"ADJP(RBS,JJ)",445,157
"NP(DT,NNP,NN)",432,158
"NML(JJ,HYPH,NN)",429,159
"ADVP(IN,NN)",422,160
"VP(VB,PP,PP)",420,161
"VP(VBN,NP,PP)",418,162
"NP(FW,FW,FW)",414,163
"PP(VBG,PP)",411,164
"NP(DT,NNPS)",402,165
"SBAR(IN,IN,S)",400,166
"CONJP(RB,RB)",400,167
"ADJP(ADJP,CC,ADJP)",399,168
"ADJP(NN,HYPH,JJ)",394,169
"VP(VB,NP,ADVP)",380,170
"NML(JJ,NN)",379,171
"ADVP(ADVP,SBAR)",372,172
"NP(NNP,NNP,POS)",370,173
"VP(VBZ,ADVP)",369,174
"NML(NNP,NNP)",367,175
"NP(JJ,NN,NNS)",354,176
"SBAR(IN,NP)",354,177
"ADVP(RB,RBR)",354,178
"NP(NN,HYPH,NN)",352,179
"ADVP(IN,DT)",348,180
"VP(VBZ,PP,PP)",344,181
"VP(VBN,ADVP,PP)",340,182
"VP(VBG,ADJP)",334,183
"VP(VBZ,ADVP,PP)",330,184
"ADJP(ADJP,SBAR)",330,185
"NML(NN,HYPH,NN)",327,186
"PP(JJ,IN,NP)",325,187
"SQ(MD,NP,VP)",322,188
"VP(VB,PP,SBAR)",322,189
"NML(NN,NN)",319,190
"VP(VBZ,ADVP,ADJP)",315,191
"VP(VBD,ADVP,VP)",314,192
"VP(VBN,PP,SBAR)",311,193
"VP(VBZ,RB,ADJP)",309,194
"NP(VBN,NNS)",306,195
"PP(PP,PP)",305,196
"VP(VB,ADVP,VP)",304,197
"ADVP(RBR,RB)",303,198
"SBAR(IN,NN,S)",302,199
"VP(VBD,RB,VP)",299,200
"SBARQ(WHADVP,SQ)",299,201
"VP(VBZ,PP,SBAR)",294,202
"WHNP(WDT,NN)",293,203
"PP(IN,ADVP)",293,204
"VP(VBZ,PP,NP)",291,205
"NP(NML,NNS)",289,206
"ADJP(JJ,SBAR)",278,207
"NML(NML,CC,NML)",277,208
"NP(DT,JJS,NN)",274,209
"NP(NML,NN)",272,210
"CONJP(RB,IN)",271,211
"VP(VB,NP,NP)",271,212
"NP(DT,JJ,NNP)",269,213
"NP(NP,NNP)",269,214
"SBAR(IN,FRAG)",268,215
"NP(DT,ADJP)",257,216
"NP(CD,JJ,NNS)",256,217
"CONJP(RB,RB,IN)",255,218
"VP(VB,ADVP,PP)",254,219
"S(RB,VP)",247,220
"NP(PRP,POS)",246,221
"VP(VB,ADJP,PP)",239,222
"VP(VB,PRT,NP)",237,223
"VP(VBP,NP,SBAR)",236,224
"NP(NP,JJ,NNS)",235,225
"SBARQ(WHNP,SQ)",235,226
"PP(VBG,NP)",233,227
"NP(NN,POS)",232,228
"VP(VB,PP,NP)",229,229
"VP(VB,ADJP,SBAR)",224,230
"NP(RB,DT,NN)",223,231
"NP(JJ,NN,NN)",223,232
"NP(NP,CONJP,NP)",223,233
"S(NP,NP)",222,234
"VP(VBP,ADVP,NP)",218,235
"ADJP(RB,JJR)",217,236
"VP(VBZ,NP,NP)",215,237
"NP(JJ,NNP)",215,238
"VP(VBN,PRT,PP)",215,239
"ADJP(NN,HYPH,VBN)",214,240
"VP(VBP,PP,PP)",212,241
"NP(PRP$,NN,NN)",211,242
"VP(VBN,ADJP)",204,243
"ADJP(RB,HYPH,VBN)",200,244
"ADJP(JJ,HYPH,JJ)",200,245
"PP(VBN,NP)",200,246
"VP(VBG,ADVP)",198,247
"NP(JJR,NN)",197,248
"VP(VBP,ADJP,PP)",196,249
"ADVP(ADVP,PP)",195,250
"NP(VBN,NN)",193,251
"NP(JJR,NNS)",189,252
"VP(ADVP,VBN,PP)",189,253
"WHNP(WHNP,PP)",187,254
"VP(VBZ,ADVP,SBAR)",187,255
"VP(VP,VP)",186,256
"VP(VBP,NP,S)",185,257
"PP(IN,IN,NP)",184,258
"NP(VBG,NNS)",183,259
"NP(NNP,NNS)",182,260
"VP(VBP,ADVP)",182,261
"NP(PDT,DT,NNS)",182,262
"NP(NN,JJ)",181,263
"VP(MD,S)",181,264
"ADJP(JJ,JJ)",179,265
"PP(IN,HYPH,NP)",178,266
"VP(VBZ,NP,ADVP)",178,267
"PP(RB,IN,NP)",178,268
"WHNP(WP$,NN)",178,269
"VP(VB,ADVP,NP)",177,270
"NP(DT,NML)",177,271
"VP(VB,ADVP,SBAR)",175,272
"SQ(VBZ,NP,VP)",172,273
"VP(VBG,NP,S)",172,274
"NP(NP,PP,SBAR)",169,275
"ADJP(FW,FW)",168,276
"NP(DT,VBG,NNS)",166,277
"VP(VBP,RB,ADJP)",166,278
"VP(VBG,PP,PP)",165,279
"ADJP(ADVP,JJ)",165,280
"CONJP(CC,RB)",165,281
"VP(VB,ADJP,S)",164,282
"VP(VBP,ADVP,PP)",162,283
"VP(VBD,ADVP)",161,284
"ADJP(VBN,PP)",160,285
"NP(QP,NNS)",160,286
"S(NP,SBAR,VP)",160,287
"VP(VBP,ADVP,ADJP)",157,288
"ADVP(RB,CC,RB)",154,289
"NP(DT,NNP,POS)",154,290
"PP(IN,VP)",152,291
"S(NP,PRN,VP)",151,292
"NP(NP,NP,PP)",151,293
"SQ(VBP,NP,VP)",150,294
"VP(VBZ,PP,S)",149,295
"NP(PRP$,NN,S)",146,296
"NP(NP,PRN)",145,297
"VP(MD,PP,VP)",145,298
"VP(VBG,NP,SBAR)",145,299
"VP(VBD,PP,PP)",143,300
"NP(ADJP,JJ,NNS)",143,301
"NP(DT,VBN,NNS)",143,302
"S(S,NP)",142,303
"QP(RB,CD)",142,304
"VP(VBD,NP,S)",138,305
"NP(PRP$,JJ)",138,306
"VP(FW,NP)",138,307
"VP(VBZ,S,SBAR)",137,308
"S(NP,VP,VP)",136,309
"VP(VBN,PP,S)",135,310
