phrase,count,rank
"VP(VBP,RB,NP)",135,311
"WHNP(WDT,NNS)",134,312
"NP(DT,CD,NN)",132,313
"ADJP(NN,HYPH,VBG)",130,314
"NP(DT,NML,NNS)",130,315
"VP(VBP,ADJP,SBAR)",128,316
"NP(CD,JJ,NN)",128,317
"NP(JJ,ADJP,NNS)",126,318
"NP(NP,NN,NN)",125,319
"VP(VBP,PP,SBAR)",125,320
"NP(NN,HYPH,NNS)",123,321
"S(RB,NP,VP)",123,322
"NP(QP,NN)",123,323
"VP(VBD,NP,SBAR)",122,324
"NP(PRP$,NNP)",122,325
"NP(PRP$,ADJP,NN)",122,326
"VP(VBG,PRT,NP)",121,327
"NP(NP,FW,NP)",120,328
"NP(PRP$,NN,POS)",119,329
"NP(NNP,CD)",118,330
"NP(DT,NNS,NN)",118,331
"NP(DT,NNP,NNPS)",118,332
"NML(JJ,NNS)",117,333
"VP(TO,ADVP,VP)",115,334
"VP(NN,PP)",113,335
"PP(FW,NP)",113,336
"VP(ADVP,VBN)",113,337
"VP(VBP,PP,NP)",112,338
"NP(DT,CD)",112,339
"SBAR(WDT,S)",110,340
"NP(NML,NNP)",110,341
"NP(NP,PP,NP)",109,342
"NP(PRP$,NN,NNS)",108,343
"ADVP(RBS,RB)",106,344
"SINV(PP,VP,NP)",105,345
"ADJP(RB,RB,JJ)",104,346
"VP(VBG,ADVP,PP)",104,347
"VP(VBN,PRT)",104,348
"NP(NP,FW)",104,349
"NP(PRP$,NN,SBAR)",104,350
"NP(NP,FW,FW)",104,351
"VP(VBD,ADVP,NP)",104,352
"ADJP(JJ,HYPH,VBN)",102,353
"SBAR(SBAR,SBAR)",102,354
"NP(NNP,NNPS)",101,355
"NML(NN,CC,NN)",101,356
"WHADJP(WRB,JJ)",100,357
"VP(VBZ,PRT,NP)",100,358
"VP(VBD,ADVP,PP)",99,359
"NML(FW,FW)",99,360
"VP(VP,CC,PP)",98,361
"NP(NP,PP,ADVP)",98,362
"NP(NNP,HYPH,NNP)",97,363
"PP(ADVP,IN,S)",96,364
"NP(CD,DT)",96,365
"WHADVP(WRB,RB)",95,366
"SBAR(NP,S)",95,367
"VP(VBG,NP,ADVP)",94,368
"NP(PRP$,ADJP,NNS)",94,369
"NP(DT,JJS)",93,370
"VP(VBP,NP,ADVP)",93,371
"NP(JJS,NNS)",92,372
"S(PP,NP)",92,373
"NP(NP,WHNP)",91,374
"S(NP,PP)",91,375
"NP(NP,CC,PP)",91,376
"VP(VBN,PP,NP)",91,377
"NP(NNS,POS)",91,378
"NP(DT,JJR,NNS)",90,379
"NP(NP,PP,S)",90,380
"NP(NP,NN,SBAR)",89,381
"NP(NP,ADJP,NN)",89,382
"VP(VBD,PP,NP)",88,383
"QP(ADVP,CD)",88,384
"NML(NNP,HYPH,NNP)",87,385
"NP(VBG,NN)",87,386
"NP(NN,NNP)",87,387
"NP(NP,RB,NP)",87,388
"NP(DT,VBG)",86,389
"VP(VBN,NP,SBAR)",86,390
"NML(NML,PP)",86,391
"NP(DT,NN,NNP)",86,392
"NP(NN,NN,NN)",86,393
"VP(VBG,NP,NP)",86,394
"SBAR(IN,SBAR)",86,395
"PP(RB,IN,S)",85,396
"VP(VBZ,ADVP,S)",85,397
"VP(VBZ,PRT,S)",85,398
"NP(DT,NNS,POS)",85,399
"VP(VBZ,RB)",84,400
"ADJP(RB,JJ,S)",83,401
"NP(NN,SBAR)",83,402
"S(S,SBAR)",83,403
"WHNP(WP$,NNS)",82,404
"NP(NP,CC,SBAR)",81,405
"ADVP(IN,RB)",81,406
"VP(VBN,S,PP)",81,407
"S(S,S,S)",81,408
"VP(VB,PP,S)",81,409
"VP(VBN,ADVP,VP)",81,410
"NP(RB,NN)",80,411
"VP(VB,S,SBAR)",80,412
"WHADVP(RB,WRB)",79,413
"NP(NP,NN,S)",79,414
"VP(VBD,ADJP,PP)",78,415
"NML(CD,HYPH,NN)",78,416
"ADJP(RB,JJ,SBAR)",78,417
"NP(DT,NML,NNP)",76,418
"S(NP,S,VP)",76,419
"VP(VBP,RB)",76,420
"NP(NN,CC,NNS)",76,421
"NP(ADJP,JJ,NN)",75,422
"ADVP(RB,JJR)",75,423
"SQ(VBZ,NP)",75,424
"VP(VBG,PP,NP)",74,425
"NP(NNP,FW)",74,426
"SINV(ADVP,VP,NP)",73,427
"NP(DT,JJ,JJ)",73,428
"PP(IN,WHNP)",72,429
"NP(NP,CC,S)",72,430
"PP(VBN,PP)",72,431
"NP(PRP$,VBN,NN)",72,432
"ADJP(JJ,CC,VBN)",71,433
"VP(VB,PRT)",71,434
"NP(DT,NNP,NNS)",71,435
"VP(NN,NP)",71,436
"S(ADVP,NP)",70,437
"VP(VBN,S,SBAR)",70,438
"WHNP(NP,WHPP)",70,439
"NP(NP,ADVP,PP)",69,440
"PP(VBN,SBAR)",69,441
"VP(VBZ,RB,S)",69,442
"ADJP(RB,VBG)",68,443
"ADVP(JJ,PP)",68,444
"NP(DT,JJS,NNS)",68,445
"S(INTJ,NP,VP)",68,446
"SBAR(IN,SINV)",68,447
"S(IN,NP,VP)",67,448
"NP(ADJP,PP)",67,449
"VP(VBP,ADVP,SBAR)",67,450
"VP(VBP,NP,NP)",67,451
"VP(VB,PP,ADVP)",67,452
"VP(VP,NP)",67,453
"S(ADJP,VP)",66,454
"NP(NN,CD)",66,455
"PP(RB,PP)",66,456
"VP(VBN,PP,ADVP)",66,457
"VP(VBD,PP,SBAR)",66,458
"VP(VBN,NP,S)",66,459
"PP(PP,CONJP,PP)",65,460
"ADVP(ADVP,RB)",65,461
"VP(VBN,CC,VBN)",65,462
"S(NP,ADJP,SBAR)",65,463
"ADVP(NP,RB)",65,464
"VP(VBN,ADVP,SBAR)",64,465
"VP(VP,S)",64,466
"S(S,CC,NP)",64,467
"PP(JJ,PP)",64,468
"S(CC,VP)",64,469
"VP(VBP,PRT,NP)",63,470
"SQ(VBD,NP,VP)",63,471
"VP(VBZ,RB,SBAR)",63,472
"VP(VBD,NP,NP)",62,473
"NP(RB,NNS)",62,474
"NP(NN,JJ,NN)",62,475
"NP(NP,WHPP)",62,476
"NP(NP,ADVP,NP)",62,477
"S(NP,ADJP,S)",62,478
"QP(RB,DT)",61,479
"S(ADVP,SBAR,VP)",61,480
"VP(VBZ,PP,VP)",61,481
"VP(VBG,PP,SBAR)",60,482
"NP(NP,NNP,NNP)",60,483
"ADVP(FW,FW)",60,484
"VP(VB,PRT,PP)",60,485
"VP(VBD,ADVP,ADJP)",59,486
"ADVP(RB,RB,RB)",59,487
"VP(JJ,PP)",59,488
"NP(NP,NP,SBAR)",58,489
"VP(VBD,RB,NP)",58,490
"PP(CC,PP)",58,491
"NP(JJ,NNPS)",58,492
"ADVP(NP,RBR)",58,493
"VP(VBD,NP,ADVP)",57,494
"S(NP,SBAR)",57,495
"VP(VBZ,RB,PP)",57,496
"SBAR(WHNP,SBAR)",57,497
"VP(VBZ,PP,ADJP)",57,498
"VP(VB,PRT,SBAR)",57,499
"NP(PDT,DT)",56,500
"ADJP(JJ,CC,NN)",56,501
"SBAR(WHADJP,S)",56,502
"ADVP(RB,RB,PP)",56,503
"NP(DT,JJR)",55,504
"VP(TO,NP)",55,505
"VP(VBZ,S,S)",55,506
"VP(VBZ,PRT,PP)",55,507
"NP(NN,S)",55,508
"S(S,CC,SBAR)",54,509
"SINV(PP,VP)",54,510
"SBAR(SBAR,CC,S)",54,511
"PP(JJ,IN,S)",54,512
"PP(VBG,SBAR)",54,513
"NP(NN,NN,NNS)",53,514
"VP(VBN,NP,ADVP)",53,515
"SINV(VP,NP)",53,516
"ADJP(JJ,PP,PP)",53,517
"S(VP,VP)",52,518
"VP(VBG,ADVP,NP)",52,519
"NP(NP,NML)",52,520
"VP(VBZ,S,PP)",51,521
"VP(VB,S,PP)",51,522
"NP(NNP,PRP)",51,523
"ADJP(RBR,JJ,PP)",51,524
"NP(NNS,NN)",51,525
"NP(NP,JJ)",50,526
"VP(VBP,ADVP,S)",50,527
"VP(VBD,ADJP,SBAR)",50,528
"SBAR(WHNP,NP)",50,529
"NP(NNS,CC,NN)",50,530
"NP(RB,DT,NNS)",50,531
"ADJP(RB,RB)",49,532
"NP(NNP,FW,NNP)",49,533
"VP(VBZ,PP,ADVP)",49,534
"NP(IN,NN)",49,535
"NP(ADJP,NN,NNS)",49,536
"VP(VB,SBAR,SBAR)",49,537
"ADJP(RB,VBN,PP)",48,538
"ADJP(NN,HYPH,NN)",47,539
"S(SBAR,ADVP,VP)",47,540
"NP(ADVP,DT,NN)",47,541
"NP(CC,NP)",46,542
"NML(NML,HYPH,PP)",46,543
"NML(NNP,CC,NNP)",46,544
"ADJP(JJ,RB,S)",46,545
"VP(VBP,PP,S)",46,546
"VP(VBZ,ADJP,ADVP)",46,547
"SQ(VBZ,NP,NP)",46,548
"NP(NP,SBARQ)",46,549
"NP(RB,JJ,NNS)",45,550
"S(S,RB,S)",45,551
"NP(NNP,FW,FW)",45,552
"NP(NP,CC,VP)",45,553
"ADJP(JJR,CC,JJR)",45,554
"NP(DT,VBN)",44,555
"ADJP(JJ,CC,RB)",44,556
"ADJP(JJ,NP)",44,557
"VP(VBZ,NP,VP)",43,558
"NP(NP,HYPH,PP)",43,559
"NP(ADVP,PP)",43,560
"NML(NML,NN)",43,561
"ADJP(RB,NN)",42,562
"ADJP(ADJP,JJ)",42,563
"NP(NNS,NNS)",42,564
"VP(VBN,ADJP,PP)",42,565
"ADJP(FW,FW,FW)",42,566
"NP(PRP$,NML)",42,567
"VP(VB,PRT,S)",42,568
"VP(VB,ADVP,S)",42,569
"NP(NP,UCP)",42,570
"SBARQ(CC,WHADVP,SQ)",41,571
"SBAR(IN,PP)",41,572
"NP(NP,ADJP,NNS)",41,573
"NP(DT,HYPH,NN)",41,574
"ADJP(RB,RBR,JJ)",41,575
"WHNP(WP$,JJ,NN)",41,576
"VP(VBZ,PRT)",41,577
"ADJP(NP,JJ)",41,578
"NP(QP,JJ,NNS)",41,579
"NP(NP,CC,NN)",41,580
"S(PP,ADVP,VP)",41,581
"VP(POS,NP)",41,582
"WHNP(WDT,JJ,NN)",41,583
"NP(NNP,JJ,NN)",41,584
"VP(VBD,PP,S)",41,585
"NP(FW,NNP)",41,586
"PP(PP,SBAR)",41,587
"NP(NP,NP,VP)",41,588
"NP(NP,NN,NNS)",40,589
"NP(JJ,NML,NNS)",40,590
"ADJP(JJR,PP)",40,591
"SBAR(ADVP,S)",40,592
"VP(NN,SBAR)",40,593
"ADJP(ADVP,PP)",40,594
"VP(MD,NP,VP)",39,595
"VP(VBP,PP,VP)",39,596
"VP(VBG,ADJP,PP)",39,597
"VP(MD,RB)",39,598
"S(CC,SBAR,VP)",39,599
"ADJP(NN,JJ)",39,600
"SBAR(SBAR,S)",39,601
"ADJP(JJ,RB)",39,602
"S(S,CC,SINV)",39,603
"NP(PRP$,VBG,NN)",39,604
"S(ADVP,S,VP)",39,605
"NP(PRP$,VBN,NNS)",38,606
"NP(CC,NNS)",38,607
"NP(JJS,NN)",38,608
"NP(PDT,PRP$,NNS)",38,609
"ADVP(RB,RB,JJ)",38,610
"WHNP(WDT,JJ,NNS)",38,611
"VP(VBN,ADVP,S)",38,612
"NML(JJ,NNP)",38,613
"NP(JJ,HYPH,NN)",38,614
"NP(ADJP,DT,NN)",38,615
"VP(VB,CC,VB)",38,616
"VP(VBD,PRT,NP)",38,617
"ADJP(ADVP,JJ,PP)",38,618
"PP(TO,NP)",37,619
"VP(VBG,PRT)",37,620
"FRAG(NP,NP)",36,621
"NP(NNS,S)",36,622
"VP(VBG,ADVP,VP)",36,623
"NP(VBN,JJ,NNS)",36,624
"S(S,ADVP,VP)",36,625
"NP(DT,RB)",36,626
"NP(ADVP,NP)",36,627
"NP(NN,RB)",35,628
"ADJP(ADJP,NP)",35,629
"ADJP(VBN,CC,JJ)",35,630
"S(PP,S,VP)",35,631
"VP(NNS,PP)",35,632
"NP(NN,JJ,NNS)",35,633
"NP(NP,CC,ADVP)",35,634
"NML(NN,NNS)",35,635
"FRAG(NP,S)",34,636
"QP(JJR,IN,CD)",34,637
"ADJP(ADJP,ADJP)",34,638
"NML(NNP,NNP,NNP)",34,639
"SBAR(RB,IN,S)",34,640
"NP(PRP$,JJS,NN)",34,641
"NP(RB,DT)",34,642
"S(ADJP,NP,VP)",34,643
"ADVP(RB,JJ)",34,644
"VP(VBD,RB,ADJP)",34,645
"S(NP,ADVP)",34,646
"PP(IN,NN)",33,647
"WHNP(WHNP,WHPP)",33,648
"ADJP(VBN,S)",33,649
"VP(VBZ,PRT,SBAR)",33,650
"NP(ADJP,FW,FW)",33,651
"PP(RP,PP)",33,652
"SINV(MD,NP,VP)",33,653
"ADJP(JJ,NN)",33,654
"SBAR(JJ,IN,S)",33,655
"NP(NP,VBN,NN)",33,656
"NP(JJ,NML)",32,657
"VP(VBN,ADVP,NP)",32,658
"VP(NNS,NP)",32,659
"VP(VB,S,S)",32,660
"VP(VBG,CC,VBG)",32,661
"VP(VBD,ADVP,SBAR)",32,662
"NP(PRP$,JJR,NN)",32,663
"VP(VB,ADJP,ADVP)",32,664
"NP(DT,NNS,SBAR)",32,665
"VP(ADVP,VBN,S)",32,666
"NML(NNP,NN)",32,667
"NP(JJR,JJ,NNS)",31,668
"ADVP(RB,SBAR)",31,669
"NP(NNP,NNP,NN)",31,670
"ADJP(DT,JJR)",31,671
"ADJP(JJ,CC,VBG)",31,672
"NP(PRP$,NML,NN)",31,673
"SQ(VBZ,NP,ADJP)",31,674
"ADVP(DT,NN,SBAR)",31,675
"SINV(ADJP,VP,NP)",31,676
"ADJP(RB,HYPH,JJ)",31,677
"NP(DT,NN,RB)",31,678
"VP(VP,SBAR)",31,679
"ADJP(JJ,HYPH,NN)",31,680
"VP(VP,CC,NP)",31,681
"ADJP(ADJP,CC,PP)",31,682
"NML(NML,NNP)",31,683
"VP(VBG,PRT,PP)",30,684
"SBAR(PP,S)",30,685
"NP(DT,HYPH,NNS)",30,686
"NML(NML,NML)",30,687
"NP(DT,JJ,NML)",30,688
"NP(NP,PRN,PP)",30,689
"NP(DT,ADJP,NNP)",30,690
"VP(MD,PP)",30,691
"QP(CD,CD)",30,692
"NP(ADVP,NN)",30,693
"NP(NML,NNP,NNP)",30,694
"NP(CD,ADJP,NNS)",30,695
"PP(ADVP,PP)",30,696
"NP(ADJP,FW)",30,697
"NP(DT,NNS,NNS)",30,698
"ADVP(RB,RB,SBAR)",29,699
"NP(PDT,PRP$,NN)",29,700
"SBAR(IN,CC,SBAR)",29,701
"NP(NP,PP,VP)",29,702
"VP(VBD,ADVP,S)",29,703
"NP(NML,JJ,NNS)",29,704
"NP(NNP,CC,NN)",29,705
"S(ADVP,ADVP,VP)",29,706
"VP(VBP,S,SBAR)",29,707
"NP(QP,JJ,NN)",29,708
"NP(NP,ADVP,VP)",29,709
"ADJP(NNP,HYPH,JJ)",29,710
"ADJP(RBS,VBN)",29,711
"ADJP(RBS,JJ,PP)",29,712
"NP(NN,PRP)",29,713
"VP(VBN,NP,NP)",29,714
"WHADVP(WRB,JJ)",29,715
"S(NP,S)",29,716
"VP(ADVP,VBG,NP)",29,717
"VP(VBP,PP,ADJP)",29,718
"VP(VBZ,SBARQ)",28,719
"NP(PRP$,NN,NNP)",28,720
"VP(VBP,PRT,S)",28,721
"VP(VBD,PP,VP)",28,722
"NP(NP,NP,NN)",28,723
"SBAR(IN,NN)",28,724
"S(PP,VP,NP)",28,725
"ADVP(IN,PP)",28,726
"VP(MD,NP)",28,727
"NML(NNP,HYPH,NN)",28,728
"SBAR(DT,S)",28,729
"PP(PP,CONJP,NP)",28,730
"VP(VBP,RB,PP)",28,731
"VP(VBG,PRT,SBAR)",28,732
"VP(VBN,PRT,SBAR)",28,733
"NP(NN,CC,NNP)",28,734
"SINV(VBD,NP,VP)",27,735
"ADVP(RB,IN)",27,736
"VP(FW,HYPH,VP)",27,737
"NP(NP,IN,NP)",27,738
"S(WHNP,VP)",27,739
"S(CC,S,VP)",27,740
"UCP(ADJP,CC,PP)",27,741
"PP(PP,CC,SBAR)",27,742
"NP(ADJP,NNP)",27,743
"PP(NP,IN,NP)",27,744
"NP(PRP$,VBG,NNS)",27,745
"S(NP,RB,VP)",27,746
"NP(CC,NN)",27,747
"NP(PRP$,NNP,NNP)",27,748
"PP(IN,UCP)",27,749
